"""Longitude (x)","""""Latitude (y)""""","""""Station Name""""","""""Climate ID""""","""""Date/Time""""","""""Year""""","""""Month""""","""""Day""""","""""Time""""","""""Temp (°C)""""","""""Temp Flag""""","""""Dew Point Temp (°C)""""","""""Dew Point Temp Flag""""","""""Rel Hum (%)""""","""""Rel Hum Flag""""","""""Wind Dir (10s deg)""""","""""Wind Dir Flag""""","""""Wind Spd (km/h)""""","""""Wind Spd Flag""""","""""Visibility (km)""""","""""Visibility Flag""""","""""Stn Press (kPa)""""","""""Stn Press Flag""""","""""Hmdx""""","""""Hmdx Flag""""","""""Wind Chill""""","""""Wind Chill Flag""""","""""Weather"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 00:00""""","""""2015""""","""""01""""","""""01""""","""""00:00""""","""""-6.7""""","""""""""","""""-15.5""""","""""""""","""""50""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.18""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 01:00""""","""""2015""""","""""01""""","""""01""""","""""01:00""""","""""-6.5""""","""""""""","""""-15.7""""","""""""""","""""48""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.09""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 02:00""""","""""2015""""","""""01""""","""""01""""","""""02:00""""","""""-6.8""""","""""""""","""""-14.9""""","""""""""","""""52""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.06""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 03:00""""","""""2015""""","""""01""""","""""01""""","""""03:00""""","""""-6.7""""","""""""""","""""-14.1""""","""""""""","""""56""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""100.07""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 04:00""""","""""2015""""","""""01""""","""""01""""","""""04:00""""","""""-6.6""""","""""""""","""""-13.6""""","""""""""","""""58""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.99""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 05:00""""","""""2015""""","""""01""""","""""01""""","""""05:00""""","""""-6.4""""","""""""""","""""-12.8""""","""""""""","""""60""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.94""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 06:00""""","""""2015""""","""""01""""","""""01""""","""""06:00""""","""""-6.0""""","""""""""","""""-12.1""""","""""""""","""""62""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.94""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 07:00""""","""""2015""""","""""01""""","""""01""""","""""07:00""""","""""-5.6""""","""""""""","""""-11.8""""","""""""""","""""61""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.94""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 08:00""""","""""2015""""","""""01""""","""""01""""","""""08:00""""","""""-5.6""""","""""""""","""""-11.6""""","""""""""","""""62""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.87""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
"""-79.40","""""43.67""""","""""TORONTO CITY""""","""""6158355""""","""""2015-01-01 09:00""""","""""2015""""","""""01""""","""""01""""","""""09:00""""","""""-5.2""""","""""""""","""""-11.6""""","""""""""","""""60""""","""""""""","""""""""","""""M""""","""""""""","""""M""""","""""""""","""""""""","""""99.88""""","""""""""","""""""""","""""""""","""""""""","""""""""","""""NA"""""""
